DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,Working_Population,Houses,CPI,UNRATE,Construction_Materials,FEDFUNDS,Num_Households,Income,Subsidy,old_percent
2003-10-01,137.532,2003,10,51986.0,187738373.134674,3.8,184.9,6.0,149.6,1.01,111278.0,65860.0,25.93,12.2779342993686
2003-11-01,138.79399999999998,2003,11,52050.333333333336,187972124.74446905,4.1,185.0,5.8,150.2,1.0,111278.0,65860.0,25.93,12.2779342993686
2003-12-01,140.179,2003,12,52114.666666666664,188135255.079655,4.0,185.5,5.7,149.7,0.98,111278.0,65860.0,25.93,12.2779342993686
2004-01-01,141.64600000000002,2004,1,52179.0,187687969.207989,3.8,186.3,5.7,150.0,1.0,112000.0,65760.0,27.201,12.3047192322804
2004-02-01,143.192,2004,2,52275.666666666664,187875451.407649,3.7,186.7,5.6,153.4,1.01,112000.0,65760.0,27.201,12.3047192322804
2004-03-01,145.059,2004,3,52372.333333333336,188057722.03934503,3.6,187.1,5.8,156.5,1.0,112000.0,65760.0,27.201,12.3047192322804
2004-04-01,146.593,2004,4,52469.0,188320169.74652,4.0,187.4,5.6,160.1,1.0,112000.0,65760.0,27.201,12.3047192322804
2004-05-01,148.186,2004,5,52591.0,188475810.280927,3.8,188.2,5.6,162.7,1.0,112000.0,65760.0,27.201,12.3047192322804
2004-06-01,149.85,2004,6,52713.0,188689461.442109,3.9,188.9,5.6,162.0,1.03,112000.0,65760.0,27.201,12.3047192322804
2004-07-01,151.338,2004,7,52835.0,188840548.663347,4.5,189.1,5.5,162.2,1.26,112000.0,65760.0,27.201,12.3047192322804
2004-08-01,152.63299999999998,2004,8,52970.666666666664,189071374.975358,4.3,189.2,5.4,165.9,1.43,112000.0,65760.0,27.201,12.3047192322804
2004-09-01,154.179,2004,9,53106.333333333336,189217846.455663,4.1,189.8,5.4,167.2,1.61,112000.0,65760.0,27.201,12.3047192322804
2004-10-01,155.75,2004,10,53242.0,189444673.04673,3.9,190.8,5.5,165.9,1.76,112000.0,65760.0,27.201,12.3047192322804
2004-11-01,157.52700000000002,2004,11,53401.0,189654575.518692,4.3,191.7,5.4,165.5,1.93,112000.0,65760.0,27.201,12.3047192322804
2004-12-01,159.33,2004,12,53560.0,189810239.240583,4.1,191.7,5.4,166.3,2.16,112000.0,65760.0,27.201,12.3047192322804
2005-01-01,161.28799999999998,2005,1,53719.0,189989658.14832905,4.4,191.6,5.3,168.6,2.28,113343.0,66780.0,27.651,12.3601628768533
2005-02-01,163.344,2005,2,53768.666666666664,190144268.613114,4.3,192.4,5.4,170.4,2.5,113343.0,66780.0,27.651,12.3601628768533
2005-03-01,165.812,2005,3,53818.333333333336,190460460.091305,4.1,193.1,5.2,170.0,2.63,113343.0,66780.0,27.651,12.3601628768533
2005-04-01,167.50099999999998,2005,4,53868.0,190466068.157388,4.3,193.7,5.2,170.0,2.79,113343.0,66780.0,27.651,12.3601628768533
2005-05-01,169.351,2005,5,53963.0,190710241.839535,4.2,193.6,5.1,168.1,3.0,113343.0,66780.0,27.651,12.3601628768533
2005-06-01,171.19,2005,6,54058.0,190962534.95537505,4.3,193.7,5.0,167.8,3.04,113343.0,66780.0,27.651,12.3601628768533
2005-07-01,172.86,2005,7,54153.0,191115008.889206,4.2,194.9,5.0,167.2,3.26,113343.0,66780.0,27.651,12.3601628768533
2005-08-01,174.442,2005,8,54207.666666666664,191266347.303718,4.5,196.1,4.9,165.9,3.5,113343.0,66780.0,27.651,12.3601628768533
2005-09-01,176.438,2005,9,54262.333333333336,191439119.291909,4.7,198.8,5.0,168.9,3.62,113343.0,66780.0,27.651,12.3601628768533
2005-10-01,178.028,2005,10,54317.0,191655296.67140105,4.5,199.1,5.0,171.6,3.78,113343.0,66780.0,27.651,12.3601628768533
2005-11-01,179.68,2005,11,54520.333333333336,191932178.95897,5.0,198.1,5.0,172.7,4.0,113343.0,66780.0,27.651,12.3601628768533
